userid ,qid ,ts1, sq1, Ets1 ,ts2, sq2, Ets2 ,ts3, sq3, Ets3 ,ts4, sq4, Ets4 

1,AI1,2021-08-13 14:54:45.154381,25,2021-08-13 14:54:50.529804,2021-08-13 14:54:50.529804,25,2021-08-13 14:54:54.846079,2021-08-13 14:54:54.846079,25,2021-08-13 14:54:59.254664,2021-08-13 14:54:59.254664,20,2021-08-13 14:55:13.672454
1,AI1,2021-08-13 14:54:45.154381,15,2021-08-13 14:54:50.529804,2021-08-13 14:54:50.529804,25,2021-08-13 14:54:54.846079,2021-08-13 14:54:54.846079,25,2021-08-13 14:54:59.254664,2021-08-13 14:54:59.254664,25,2021-08-13 14:57:41.476877
1,AI1,2021-08-13 15:03:45.313240,25,2021-08-13 15:03:51.352420,2021-08-13 15:03:51.352420,25,2021-08-13 15:03:55.534627,2021-08-13 15:03:55.534627,25,2021-08-13 15:03:59.695911,2021-08-13 15:03:59.695911,20,2021-08-13 15:04:10.952522
1,AI1,2021-08-13 15:04:37.293673,25,2021-08-13 15:04:44.231238,2021-08-13 15:04:44.231238,25,2021-08-13 15:04:48.781157,2021-08-13 15:04:48.781157,20,2021-08-13 15:07:15.152953,2021-08-13 15:07:15.152953,25,2021-08-13 15:07:22.089505
